Wijken en buurten,Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)
Haarlemmerbuurt,    49.9
Jordaan,    46.2
Grachtengordel-West,    95.6
Burgwallen-Nieuwe Zijde,    39.0
Burgwallen-Oude Zijde,    38.2
Nieuwmarkt/Lastage,    49.3
Grachtengordel-Zuid,   109.2
De Weteringschans,    83.2
Weesperbuurt/Plantage,    59.8
Oostelijke Eilanden/Kadijken,    38.0
Havens-West,       .
Coenhaven/Minervahaven,     9.3
Sloterdijk-West,    52.6
Spaarndammerbuurt/Zeeheldenbuurt,    35.3
Houthavens,    75.6
De Kolenkit,    33.2
Landlust,    35.5
Erasmuspark,    40.2
Centrale Markt,    41.0
Staatsliedenbuurt,    37.8
Frederik Hendrikbuurt,    39.8
Van Galenbuurt,    33.7
Geuzenbuurt,    40.3
Hoofdweg e.o.,    36.4
Chassébuurt,    38.4
Bellamybuurt,    41.3
Da Costabuurt,    43.8
Westindische Buurt,    42.3
Van Lennepbuurt,    36.7
Overtoomse Sluis,    47.0
Helmersbuurt,    49.0
Vondelparkbuurt,    97.1
Sloterdijk Nieuw-West,    23.2
Geuzenveld,    30.8
Slotermeer-West,    28.3
Slotermeer-Noordoost,    29.8
Slotermeer-Zuidoost,    31.0
Lutkemeer/Ookmeer,    47.2
De Aker,    40.7
De Punt,    30.5
Osdorp-Midden,    31.9
Osdorp-Oost,    31.4
Slotervaart-Noord,    33.7
Overtoomse Veld,    33.9
Slotervaart-Zuid,    30.8
Westlandgracht,    34.4
Sloten/Nieuw-Sloten,    42.5
Hoofddorppleinbuurt,    47.3
Schinkelbuurt,    42.5
Willemspark,   127.5
Museumkwartier,   116.1
Oude Pijp,    41.5
Nieuwe Pijp,    41.7
Zuid Pijp,    34.5
Stadionbuurt,    43.2
Apollobuurt,   109.4
Scheldebuurt,    52.3
IJselbuurt,    36.2
Rijnbuurt,    40.0
Prinses Irenebuurt e.o.,   107.5
Zuidas,    67.3
Buitenveldert-West,    51.9
Buitenveldert-Oost,    44.1
Oostelijk Havengebied,    49.0
Weesperzijde,    48.2
Oosterparkbuurt,    37.7
Transvaalbuurt,    35.1
Dapperbuurt,    36.8
Indische Buurt-West,    34.8
Indische Buurt-Oost,    33.1
Zeeburgereiland/Bovendiep,    34.7
IJburg-West,    48.2
IJburg-Oost,    45.2
IJburg-Zuid,    49.1
Frankendael,    37.6
Frankendael,       .
Middenmeer,    42.7
Betondorp,    32.5
Betondorp,    32.4
Omval/Overamstel,    47.8
Oostzanerwerf,    36.1
Noordelijke IJ-oevers-West,    43.5
Tuindorp Oostzaan,    33.0
Kadoelen,    44.6
Kadoelen,    48.1
Banne Buiksloot,    31.9
Nieuwendammerdijk/Buiksloterdijk,    67.4
Elzenhagen,    33.3
Buikslotermeer,    30.5
Waterlandpleinbuurt,    32.6
Volewijck,    29.7
IJplein/Vogelbuurt,    31.5
Tuindorp Buiksloot,    30.9
Tuindorp Nieuwendam,    31.6
Noordelijke IJ-oevers-Oost,    30.9
Waterland,    56.9
Driemond,    42.9
Bloemendalerpolder,    60.1
Weesp-Noordwest,    36.2
Weesp Binnenstad/Zuid,    43.2
Aetsveld/Oostelijke Vechtoever,    46.3
Amstel III/Bullewijk,    28.1
Venserpolder,    28.8
Amsterdamse Poort e.o.,    27.3
H-buurt,    25.8
Ganzenhoef e.o.,    31.1
Geerdinkhof/Kantershof,    33.3
Bijlmermuseum,    26.7
K-buurt,    30.5
Holendrecht,    29.6
Nellestein,    35.0
Reigersbos,    31.1
Gein,    33.0
